Time,Utilization (%)
2024-01-25 04:07:35,23.3261
2024-01-25 04:06:35,23.3037
2024-01-25 04:05:35,23.3261
2024-01-25 04:04:35,23.3261
2024-01-25 04:03:35,23.3261
2024-01-25 04:02:35,23.3261
2024-01-25 04:01:35,23.3261
2024-01-25 04:00:35,23.3261
2024-01-25 03:59:35,23.3261
2024-01-25 03:58:35,23.3261
2024-01-25 03:57:35,23.3261
2024-01-25 03:56:35,23.3261
2024-01-25 03:55:35,23.3261
2024-01-25 03:54:35,23.3261
2024-01-25 03:53:35,23.3261
2024-01-25 03:52:35,23.3261
2024-01-25 03:51:35,23.3261
2024-01-25 03:50:35,23.3261
2024-01-25 03:49:35,23.3261
2024-01-25 03:48:35,23.3261
2024-01-25 03:47:35,23.3261
2024-01-25 03:46:35,23.3260
2024-01-25 03:45:35,23.3260
2024-01-25 03:44:35,23.3260
2024-01-25 03:43:35,23.3260
2024-01-25 03:42:35,23.3260
2024-01-25 03:41:35,23.3260
2024-01-25 03:40:35,23.3260
2024-01-25 03:39:35,23.3260
2024-01-25 03:38:35,23.3260
2024-01-25 03:37:35,23.3260
2024-01-25 03:36:35,23.3260
2024-01-25 03:35:35,23.3260
2024-01-25 03:34:35,23.3260
2024-01-25 03:33:35,23.3260
2024-01-25 03:32:35,23.3260
2024-01-25 03:31:35,23.3260
2024-01-25 03:30:35,23.3260
2024-01-25 03:29:35,23.3260
2024-01-25 03:28:35,23.3260
2024-01-25 03:27:35,23.3260
2024-01-25 03:26:35,23.3260
2024-01-25 03:25:35,23.3260
2024-01-25 03:24:35,23.3260
2024-01-25 03:23:35,23.3260
2024-01-25 03:22:35,23.3260
2024-01-25 03:21:35,23.3260
2024-01-25 03:20:35,23.3260
2024-01-25 03:19:35,23.3260
2024-01-25 03:18:35,23.3281
2024-01-25 03:17:35,23.3260
2024-01-25 03:16:35,23.3260
2024-01-25 03:15:35,23.3260
2024-01-25 03:14:35,23.3260
2024-01-25 03:13:35,23.3260
2024-01-25 03:12:35,23.3283
2024-01-25 03:11:35,23.3260
2024-01-25 03:10:35,23.3260
2024-01-25 03:09:35,23.3260
2024-01-25 03:08:35,23.3260
2024-01-25 03:07:35,23.3260
2024-01-25 03:06:35,23.3279
2024-01-25 03:05:35,23.3260
2024-01-25 03:04:35,23.3260
2024-01-25 03:03:35,23.3260
2024-01-25 03:02:35,23.3260
2024-01-25 03:01:35,23.3260
2024-01-25 03:00:35,23.3260
2024-01-25 02:59:35,23.3260
2024-01-25 02:58:35,23.3260
2024-01-25 02:57:35,23.3260
2024-01-25 02:56:35,23.3260
2024-01-25 02:55:35,23.3288
2024-01-25 02:54:35,23.3260
2024-01-25 02:53:35,23.3260
2024-01-25 02:52:35,23.3283
2024-01-25 02:51:35,23.3260
2024-01-25 02:50:35,23.3260
