Time,Count
2024-01-25 04:05:20,0
2024-01-25 04:04:20,0
2024-01-25 04:03:20,0
2024-01-25 04:02:20,0
2024-01-25 04:01:20,0
2024-01-25 04:00:20,0
2024-01-25 03:59:20,0
2024-01-25 03:58:20,0
2024-01-25 03:57:20,0
2024-01-25 03:56:20,0
2024-01-25 03:55:20,0
2024-01-25 03:54:20,0
2024-01-25 03:53:20,0
2024-01-25 03:52:20,0
2024-01-25 03:51:20,0
2024-01-25 03:50:20,0
2024-01-25 03:49:20,0
2024-01-25 03:48:20,0
2024-01-25 03:47:20,0
2024-01-25 03:46:20,0
2024-01-25 03:45:20,0
2024-01-25 03:44:20,0
2024-01-25 03:43:20,0
2024-01-25 03:42:20,0
2024-01-25 03:41:20,0
2024-01-25 03:40:20,0
2024-01-25 03:39:20,0
2024-01-25 03:38:20,0
2024-01-25 03:37:20,0
2024-01-25 03:36:20,0
2024-01-25 03:35:20,0
2024-01-25 03:34:20,0
2024-01-25 03:33:20,0
2024-01-25 03:32:20,0
2024-01-25 03:31:20,0
2024-01-25 03:30:20,0
2024-01-25 03:29:20,0
2024-01-25 03:28:20,0
2024-01-25 03:27:20,0
2024-01-25 03:26:20,0
2024-01-25 03:25:20,0
2024-01-25 03:24:20,0
2024-01-25 03:23:20,0
2024-01-25 03:22:20,0
2024-01-25 03:21:20,0
2024-01-25 03:20:20,0
2024-01-25 03:19:20,0
2024-01-25 03:18:20,0
2024-01-25 03:17:20,0
2024-01-25 03:16:20,0
2024-01-25 03:15:20,0
2024-01-25 03:14:20,0
2024-01-25 03:13:20,0
2024-01-25 03:12:20,0
2024-01-25 03:11:20,0
2024-01-25 03:10:20,0
2024-01-25 03:09:20,0
2024-01-25 03:08:20,0
2024-01-25 03:07:20,0
2024-01-25 03:06:20,0
2024-01-25 03:05:20,0
2024-01-25 03:04:20,0
2024-01-25 03:03:20,0
2024-01-25 03:02:20,0
2024-01-25 03:01:20,0
2024-01-25 03:00:20,0
2024-01-25 02:59:20,0
2024-01-25 02:58:20,0
2024-01-25 02:57:20,0
2024-01-25 02:56:20,0
2024-01-25 02:55:20,0
2024-01-25 02:54:20,0
2024-01-25 02:53:20,0
2024-01-25 02:52:20,0
2024-01-25 02:51:20,0
2024-01-25 02:50:20,0
2024-01-25 02:49:20,0
2024-01-25 02:48:20,0
2024-01-25 02:47:20,0
2024-01-25 02:46:20,0
2024-01-25 02:45:20,0
2024-01-25 02:44:20,0
2024-01-25 02:43:20,0
2024-01-25 02:42:20,0
2024-01-25 02:41:20,0
2024-01-25 02:40:20,0
2024-01-25 02:39:20,0
2024-01-25 02:38:20,0
2024-01-25 02:37:20,0
2024-01-25 02:36:20,0
2024-01-25 02:35:20,0
2024-01-25 02:34:20,0
2024-01-25 02:33:20,0
2024-01-25 02:32:20,0
2024-01-25 02:31:20,0
2024-01-25 02:30:20,0
2024-01-25 02:29:20,0
2024-01-25 02:28:20,0
2024-01-25 02:27:20,0
2024-01-25 02:26:20,0
2024-01-25 02:25:20,0
2024-01-25 02:24:20,0
2024-01-25 02:23:20,0
2024-01-25 02:22:20,0
2024-01-25 02:21:20,0
2024-01-25 02:20:20,0
2024-01-25 02:19:20,0
2024-01-25 02:18:20,0
2024-01-25 02:17:20,0
2024-01-25 02:16:20,0
2024-01-25 02:15:20,0
2024-01-25 02:14:20,0
2024-01-25 02:13:20,0
2024-01-25 02:12:20,0
2024-01-25 02:11:20,0
2024-01-25 02:10:20,0
2024-01-25 02:09:20,0
2024-01-25 02:08:20,0
2024-01-25 02:07:20,0
2024-01-25 02:06:20,0
2024-01-25 02:05:20,0
2024-01-25 02:04:20,0
2024-01-25 02:03:20,0
2024-01-25 02:02:20,0
2024-01-25 02:01:20,0
2024-01-25 02:00:20,0
2024-01-25 01:59:20,0
2024-01-25 01:58:20,0
2024-01-25 01:57:20,0
2024-01-25 01:56:20,0
2024-01-25 01:55:20,0
2024-01-25 01:54:20,0
2024-01-25 01:53:20,0
2024-01-25 01:52:20,0
2024-01-25 01:51:20,0
2024-01-25 01:50:20,0
2024-01-25 01:49:20,0
2024-01-25 01:48:20,0
2024-01-25 01:47:20,0
2024-01-25 01:46:20,0
2024-01-25 01:45:20,0
2024-01-25 01:44:20,0
2024-01-25 01:43:20,0
2024-01-25 01:42:20,0
2024-01-25 01:41:20,0
2024-01-25 01:40:20,0
2024-01-25 01:39:20,0
2024-01-25 01:38:20,0
2024-01-25 01:37:20,0
2024-01-25 01:36:20,0
2024-01-25 01:35:20,0
2024-01-25 01:34:20,0
2024-01-25 01:33:20,0
2024-01-25 01:32:20,0
2024-01-25 01:31:20,0
2024-01-25 01:30:20,0
2024-01-25 01:29:20,0
2024-01-25 01:28:20,0
2024-01-25 01:27:20,0
2024-01-25 01:26:20,0
2024-01-25 01:25:20,0
2024-01-25 01:24:20,0
2024-01-25 01:23:20,0
2024-01-25 01:22:20,0
2024-01-25 01:21:20,0
2024-01-25 01:20:20,0
2024-01-25 01:19:20,0
2024-01-25 01:18:20,0
2024-01-25 01:17:20,0
2024-01-25 01:16:20,0
2024-01-25 01:15:20,0
2024-01-25 01:14:20,0
2024-01-25 01:13:20,0
2024-01-25 01:12:20,0
2024-01-25 01:11:20,0
2024-01-25 01:10:20,0
2024-01-25 01:09:20,0
2024-01-25 01:08:20,0
2024-01-25 01:07:20,0
2024-01-25 01:06:20,0
2024-01-25 01:05:20,0
2024-01-25 01:04:20,0
2024-01-25 01:03:20,0
2024-01-25 01:02:20,0
2024-01-25 01:01:20,0
2024-01-25 01:00:20,0
2024-01-25 00:59:20,0
2024-01-25 00:58:20,0
2024-01-25 00:57:20,0
2024-01-25 00:56:20,0
2024-01-25 00:55:20,0
2024-01-25 00:54:20,0
2024-01-25 00:53:20,0
2024-01-25 00:52:20,0
2024-01-25 00:51:20,0
2024-01-25 00:50:20,0
2024-01-25 00:49:20,0
2024-01-25 00:48:20,0
2024-01-25 00:47:20,0
2024-01-25 00:46:20,0
2024-01-25 00:45:20,0
2024-01-25 00:44:20,0
2024-01-25 00:43:20,0
2024-01-25 00:42:20,0
2024-01-25 00:41:20,0
2024-01-25 00:40:20,0
2024-01-25 00:39:20,0
2024-01-25 00:38:20,0
2024-01-25 00:37:20,0
2024-01-25 00:36:20,0
2024-01-25 00:35:20,0
2024-01-25 00:34:20,0
2024-01-25 00:33:20,0
2024-01-25 00:32:20,0
2024-01-25 00:31:20,0
2024-01-25 00:30:20,0
2024-01-25 00:29:20,0
2024-01-25 00:28:20,0
2024-01-25 00:27:20,0
2024-01-25 00:26:20,0
2024-01-25 00:25:20,0
2024-01-25 00:24:20,0
2024-01-25 00:23:20,0
2024-01-25 00:22:20,0
2024-01-25 00:21:20,0
2024-01-25 00:20:20,0
2024-01-25 00:19:20,0
2024-01-25 00:18:20,0
2024-01-25 00:17:20,0
2024-01-25 00:16:20,0
2024-01-25 00:15:20,0
2024-01-25 00:14:20,0
2024-01-25 00:13:20,0
2024-01-25 00:12:20,0
2024-01-25 00:11:20,0
2024-01-25 00:10:20,0
2024-01-25 00:09:20,0
2024-01-25 00:08:20,0
2024-01-25 00:07:20,0
2024-01-25 00:06:20,0
2024-01-25 00:05:20,0
2024-01-25 00:04:20,0
2024-01-25 00:03:20,0
2024-01-25 00:02:20,0
2024-01-25 00:01:20,0
2024-01-25 00:00:20,0
2024-01-24 23:59:20,0
